team,OREattper,OREpercentile,ORErank,ORTattper,ORTpercentile,ORTrank,ORGattper,ORGpercentile,ORGrank,OCattper,OCpercentile,OCrank,OLGattper,OLGpercentile,OLGrank,OLTattper,OLTpercentile,OLTrank,OLEattper,OLEpercentile,OLErank,OOVRatt,OOVRpercentile,OOVRrank,DREattper,DREpercentile,DRErank,DRTattper,DRTpercentile,DRTrank,DRGattper,DRGpercentile,DRGrank,DCattper,DCpercentile,DCrank,DLGattper,DLGpercentile,DLGrank,DLTattper,DLTpercentile,DLTrank,DLEattper,DLEpercentile,DLErank,DOVRatt,DOVRpercentile,DOVRrank
DAL,13.8,48.3,18,11.3,49.8,16,7.8,46.2,24,27.2,53.9,7,11,50.8,14,14.7,46.1,24,11.1,58.1,3,566,50.8,11,13.6,48.7,20,13.4,49.9,15,9.3,49.5,19,25.4,56,3,9.7,48,21,13,64.3,1,12.6,51.5,12,516,52.7,4
SF,9.8,54.4,8,10,45.7,24,10.2,51.4,14,32.1,54.4,4,11.2,46,24,11.1,52.7,11,11.2,42,30,579,50.5,12,9.2,37.4,31,11.9,58,5,12.2,55.2,7,28.2,55.7,5,12.6,55.7,5,12.6,63.9,2,10.8,50.9,14,444,53.3,2
DET,10.5,48.6,17,16.6,50,15,5.8,48.6,19,33.1,48.1,20,4.3,47,23,15.9,47.7,20,10.1,58.1,4,465,49.6,17,14.4,51.3,10,10,38.8,32,5.6,46.1,25,27.8,41.8,31,6.7,47.4,25,14.2,60.8,3,18.8,50.4,16,431,47,27
TEN,14.9,48.3,19,10.8,47.7,20,11.3,52.5,13,24.5,52,12,11.7,51.6,11,14.9,46.2,22,8.4,39.9,31,462,48.1,26,9.9,51,13,7.4,51.3,12,12.7,57.7,3,30,51.3,15,11.6,56.9,4,12.7,59.2,4,9.6,55.7,4,363,55.6,1
IND,6.2,47.6,21,13.1,48.9,18,11.7,47,22,36.4,44,30,9.8,45.3,27,11.9,42.9,28,7.6,45.2,24,420,45.3,30,11.3,53.6,9,11.7,48.8,16,8.8,55,8,32.8,49.9,18,10.6,47.1,26,11.9,58.7,5,9.8,53.7,7,479,51.7,10
MIN,13.5,52.1,12,12,41.3,30,13.5,43.1,29,21.3,45.3,25,10.3,43.9,28,12,49.9,16,15.8,44.4,26,399,47.3,29,10.5,45.2,25,9.8,45.4,23,10.9,56.7,4,21.7,49.5,19,14.1,43,29,12.3,56.6,6,17.6,53.1,8,448,50.5,17
BAL,10.7,48,20,13.3,59.6,3,15.8,51.1,16,15.6,54.2,6,12.7,49.9,17,14.6,56.5,5,13.9,50.3,16,512,52.8,2,9.2,50.4,16,11.5,48.5,18,15.3,46.8,23,20.9,55.4,6,18.1,50.5,14,10.5,55.8,7,12,57.8,1,392,52,7
BUF,8.9,47.1,23,8.9,43.6,27,10.9,55.5,8,25.8,51.8,13,18.4,53.1,8,10.9,46.1,23,12.9,51.1,14,403,50.1,14,9.8,58.6,5,10,44.4,26,11.5,46.7,24,26.5,53.2,9,14.5,50.4,15,12.3,55.6,8,12.5,56.6,2,408,52.1,6
WAS,11.2,47.3,22,13.1,54.4,10,12.5,48.9,18,16.6,44.9,27,13.7,47.9,22,11.7,47.7,19,18.4,46.6,23,511,48.5,24,14.4,44.6,27,13.1,60.3,3,9.7,51.1,16,22.3,55.9,4,9.7,58.3,2,11.4,55.1,9,16.6,52.9,9,404,52.9,3
ATL,19.5,57.8,4,17.7,49.4,17,8.4,61.3,1,6.9,46.7,21,6.5,55.4,4,18.1,56.9,3,19.3,43.6,29,524,52.4,3,10.5,44.2,29,17.1,44.7,25,14.2,45.9,26,10.3,47.4,22,16,52.2,13,17.1,52.6,10,11.3,48.6,22,486,48.2,25
LA,10.4,43.5,24,15.4,46.6,22,9.1,42.9,31,27.4,51.7,14,10.2,41.1,29,12.5,57.2,2,12.5,55.5,10,383,49.7,16,8.9,60.6,2,12.6,57.8,6,11.2,52,13,28.8,51.6,13,9.6,41.5,31,13,52.2,11,11,44.7,29,437,51.7,11
ARI,9.8,39.1,28,9.3,41.8,29,7.5,57.2,4,39.9,52.2,11,7.5,45.8,26,12.6,45.1,26,8.8,60.7,2,398,49,22,9.8,44.8,26,11.8,53,8,4.6,40.4,32,41.2,50.6,17,5.3,48.3,19,12.5,51,12,10.3,47.2,25,417,50.1,21
MIA,11.6,54.3,9,11.1,55.3,9,13.2,43.8,28,22.7,56.9,2,12.7,40.2,32,10.9,52,14,13.4,46.9,22,387,49.9,15,7.9,54.2,8,9.9,59.3,4,13.2,42.4,29,26.6,53.7,7,12.7,55.5,7,12.4,51,13,13.6,51.6,11,403,51.8,8
CAR,3.4,55.6,7,11.9,55.6,7,12.1,48,20,29.8,51.4,15,16,53.1,9,13.8,53.3,8,8.9,60.7,1,470,51.9,8,12,45.7,24,14.1,69.5,1,13.3,51.5,15,23.5,44,29,10.7,53.2,8,9.8,50.5,14,13.9,49.1,19,460,51,13
KC,13.6,51,14,6.9,57,5,9.5,55.1,9,26.8,42.4,32,12.7,54,6,11.5,56.9,4,15,52,12,433,51.3,10,15.9,59.2,3,7.1,42.3,29,9.6,49.5,18,34.6,46.2,26,11.2,50,17,4.8,50.5,15,13.9,55.5,5,439,50,22
NYJ,9.2,38.9,29,7.9,57.8,4,10.7,49.8,17,21.5,45.6,24,15.1,40.4,30,12,52.6,12,19.2,52.3,11,391,48.5,25,10,60.9,1,10.9,52.9,9,13.9,42.3,30,28.3,47.3,23,11.7,60,1,10,49.9,16,11.5,47.1,26,460,50.6,15
CIN,6.5,40.7,27,12.6,54.1,11,19.8,55.5,7,23.9,46.4,23,15,54.2,5,11.6,47.1,21,8.7,45.1,25,414,50.2,13,12.4,49.3,19,11.7,51.4,11,12,52.9,12,15.2,59.8,1,14.1,47.5,23,20.7,49.7,17,10.4,47.9,24,460,51.6,12
NE,7.2,38,30,7.5,61,2,11.6,55.8,6,33.2,49.1,17,18.8,50.3,16,9.8,40.9,31,9.3,49.4,20,389,49,23,6.9,48,23,10.1,60.9,2,12.6,58.2,1,25.4,51.7,12,16.5,49.3,18,14.3,49,18,11.9,51.8,10,405,51.8,9
PIT,11.6,56.8,5,10.1,42,28,14.4,52.8,11,26.8,52.6,9,12.7,49.2,19,13.5,52.4,13,8.8,58.1,5,466,52.4,4,5,44.2,28,14.5,50.9,14,15,50.2,17,22.3,51,16,14.8,55.5,6,17.5,48.9,19,8,42.4,30,399,50.6,16
NYG,12.5,56.5,6,13.3,50.1,14,12.5,46.3,23,26.4,53.1,8,10.8,48.8,21,9.2,43.4,27,13.9,56.9,8,489,52.4,5,14.5,48,22,11.9,44.1,27,12.9,41.5,31,19.2,49.4,20,9.9,43.9,28,12.3,47.7,20,15.5,39.9,31,504,44.9,32
NO,7.4,59.7,1,15.7,39.7,32,21.7,44.1,27,14.3,46.7,22,17.2,53.4,7,9.6,41.5,30,11.4,51.9,13,447,48,27,10.2,50.8,15,10.2,52.2,10,20.3,53,11,17.2,51.5,14,13.3,48,22,12.9,46.8,21,11.9,45.6,27,472,50.1,19
DEN,10.8,43.2,25,11.7,41.3,31,14.8,33.5,32,24.9,52.2,10,12.7,51.2,12,11,49.7,17,10,56.2,9,418,47.4,28,7.1,58.9,4,8.8,44.9,24,11.9,51.5,14,23.8,46.2,27,15.5,57,3,16.7,46.5,22,10,38.5,32,420,50.2,18
TB,9,37.6,31,12.9,45.5,25,15.4,44.2,26,29,45.3,26,14.1,40.3,31,7.7,51.9,15,7.7,56.9,7,389,44.1,31,14.5,55.3,6,12.3,40.8,30,9.3,54.9,9,26.4,52.1,10,9.5,52.4,10,12.3,46,23,12.1,50.4,15,462,50.9,14
CHI,13.8,58.7,3,9.7,52.6,13,14.5,43,30,12.2,54.3,5,14.3,48.9,20,12.4,54.4,7,19.6,50.4,15,484,52.1,7,17.3,49.8,17,15.3,47.5,20,15.9,43.9,27,10.3,35.9,32,7.9,52.3,11,15.7,45.8,24,14.5,49.5,18,496,46.9,28
LAC,11.6,36.2,32,12.7,45.3,26,15.7,59,3,18.2,56.8,3,13.9,50.7,15,13.2,45.8,25,10.9,47.1,21,395,49.6,18,8.8,33.5,32,14.2,46.8,22,11.3,54.9,10,24.8,47.1,24,12.4,42.8,30,14.8,44.2,25,11.1,44.9,28,452,46,31
JAX,15.5,50.8,15,6.2,55.5,8,9.7,51.2,15,33.3,43.3,31,7.1,52.2,10,7.5,70.4,1,16.6,49.6,18,465,49.5,19,15.3,54.7,7,5.4,47.3,21,11.6,55.6,6,33.3,53.7,8,9.7,47.5,24,5.4,44.2,26,16.1,54.9,6,484,52.2,5
PHI,12.8,52.9,11,9.3,55.9,6,11.3,59.1,2,26.8,58.5,1,11,63.8,1,12.1,53.2,9,12.3,50.3,17,611,55.9,1,11.6,49.4,18,10.8,42.4,28,10.4,57.8,2,27.7,45.6,28,10.8,50.2,16,13.3,43.8,27,12.9,56.2,3,473,49.2,23
HOU,11.4,42.4,26,11.4,46.5,23,9.5,45,25,28,44.2,29,14.3,45.9,25,12.4,30.2,32,10.1,43.8,28,378,44,32,11.6,48.2,21,12.7,48.6,17,14.8,43.7,28,18.7,51.8,11,15.7,48.2,20,11.2,43.8,28,11,49.6,17,534,48.4,24
LV,6.8,51.3,13,5.8,71.5,1,13,52.7,12,29.2,50.9,16,16.4,50.8,13,13,48.3,18,11.4,35.8,32,414,49.3,20,7,51,14,8.2,51,13,14.1,55.6,5,29.5,48.9,21,16.6,52.3,12,10.3,42.8,29,11.9,49,20,427,50.1,20
GB,17,53.9,10,9.4,47.5,21,11,56.8,5,21.6,48.3,19,9.9,55.7,3,11.2,56.2,6,17.2,49.6,19,436,51.8,9,12.8,42.9,30,15.2,48.4,19,10.8,47.6,22,19.4,46.4,25,13,41.2,32,11.9,41.6,30,13.2,51.3,13,454,46,30
SEA,10.5,59.2,2,11.2,47.9,19,15.6,48,21,24.2,48.7,18,13.2,58.4,2,11.5,42.3,29,11.2,44.1,27,409,49.3,21,10,51.2,11,11.5,54.2,7,17.6,48,21,25.4,42.6,30,13.1,53.1,9,8.8,40.3,31,11.9,48.3,23,511,47.1,26
CLE,8.9,49.4,16,17.6,54,12,19.5,54,10,5.9,44.8,28,15,49.8,18,21.3,52.8,10,9.3,57,6,493,52.4,6,8.5,51.1,12,11.1,39.7,31,20.2,48,20,17.2,56.2,2,19.6,44.4,27,12.4,30.9,32,8.5,48.6,21,460,46.1,29